censor_model,left_architecture,right_architecture,design_points,probability_left_higher,probability_tie,median_difference,q05_difference,q95_difference
classifier_dominant,direct_e2ee,fixed_proxy,72,1.0,0.0,0.1018518518518518,0.012905092592592605,0.20097222222222227
classifier_dominant,direct_e2ee,generated_transport,72,0.4444444444444444,0.0,-0.009374999999999911,-0.1578703703703704,0.06759259259259265
classifier_dominant,direct_e2ee,ephemeral_relay,72,1.0,0.0,0.058680555555555625,0.01993055555555574,0.09206018518518512
classifier_dominant,direct_e2ee,platform_controlled,72,0.0,0.0,-0.10995370370370383,-0.3083333333333333,-0.008148148148148168
classifier_dominant,fixed_proxy,generated_transport,72,0.1388888888888889,0.0,-0.1020833333333333,-0.3590393518518519,0.018217592592592695
classifier_dominant,fixed_proxy,ephemeral_relay,72,0.125,0.0,-0.039930555555555636,-0.11035879629629636,0.009675925925926001
classifier_dominant,fixed_proxy,platform_controlled,72,0.0,0.0,-0.20787037037037043,-0.505601851851852,-0.021701388888888912
classifier_dominant,generated_transport,ephemeral_relay,72,0.8333333333333334,0.0,0.0673611111111112,-0.021284722222222118,0.24743055555555546
classifier_dominant,generated_transport,platform_controlled,72,0.0,0.0,-0.09803240740740726,-0.1880092592592593,-0.027928240740740677
classifier_dominant,ephemeral_relay,platform_controlled,72,0.0,0.0,-0.17465277777777777,-0.39982638888888894,-0.029097222222222253
endpoint_discovery_dominant,direct_e2ee,fixed_proxy,72,0.9444444444444444,0.0,0.14606481481481484,-0.004201388888888968,0.4010300925925927
endpoint_discovery_dominant,direct_e2ee,generated_transport,72,0.09722222222222222,0.0,-0.3791666666666666,-0.747800925925926,0.007997685185185208
endpoint_discovery_dominant,direct_e2ee,ephemeral_relay,72,0.09722222222222222,0.0,-0.3472222222222222,-0.6611689814814815,0.016284722222222246
endpoint_discovery_dominant,direct_e2ee,platform_controlled,72,0.0,0.0,-0.44456018518518514,-0.8199189814814816,-0.006250000000000089
endpoint_discovery_dominant,fixed_proxy,generated_transport,72,0.05555555555555555,0.0,-0.6287037037037037,-0.8244560185185186,0.0006018518518519697
endpoint_discovery_dominant,fixed_proxy,ephemeral_relay,72,0.09722222222222222,0.0,-0.6145833333333333,-0.7550578703703703,0.009652777777777786
endpoint_discovery_dominant,fixed_proxy,platform_controlled,72,0.0,0.0,-0.7243055555555555,-0.8861689814814815,-0.015150462962963011
endpoint_discovery_dominant,generated_transport,ephemeral_relay,72,0.8055555555555556,0.0,0.015856481481481555,-0.0542013888888889,0.10509259259259263
endpoint_discovery_dominant,generated_transport,platform_controlled,72,0.0,0.0,-0.04594907407407406,-0.19758101851851853,-0.014016203703703755
endpoint_discovery_dominant,ephemeral_relay,platform_controlled,72,0.0,0.0,-0.08842592592592602,-0.19891203703703705,-0.02016203703703713
resource_bounded_composed,direct_e2ee,fixed_proxy,72,0.9444444444444444,0.0,0.08275462962962966,-0.0024421296296294453,0.19923611111111106
resource_bounded_composed,direct_e2ee,generated_transport,72,0.18055555555555555,0.0,-0.31747685185185176,-0.646412037037037,0.026180555555555506
resource_bounded_composed,direct_e2ee,ephemeral_relay,72,0.20833333333333334,0.0,-0.21874999999999994,-0.443425925925926,0.031180555555555416
resource_bounded_composed,direct_e2ee,platform_controlled,72,0.08333333333333333,0.0,-0.3990740740740741,-0.7423611111111111,0.013796296296296145
resource_bounded_composed,fixed_proxy,generated_transport,72,0.06944444444444445,0.0,-0.43194444444444446,-0.6936111111111111,0.007037037037037094
resource_bounded_composed,fixed_proxy,ephemeral_relay,72,0.08333333333333333,0.0,-0.3429398148148147,-0.5310763888888889,0.00967592592592594
resource_bounded_composed,fixed_proxy,platform_controlled,72,0.06944444444444445,0.0,-0.5091435185185186,-0.7818171296296297,0.002812500000000017
resource_bounded_composed,generated_transport,ephemeral_relay,72,0.8333333333333334,0.0,0.06956018518518514,-0.022453703703703667,0.24824074074074062
resource_bounded_composed,generated_transport,platform_controlled,72,0.05555555555555555,0.0,-0.07037037037037053,-0.15674768518518506,-9.259259259249229e-05
resource_bounded_composed,ephemeral_relay,platform_controlled,72,0.041666666666666664,0.0,-0.14594907407407393,-0.3721643518518518,-0.005011574074074012
adaptive_composed,direct_e2ee,fixed_proxy,72,0.9583333333333334,0.0,0.09432870370370372,0.0064120370370370425,0.3644328703703704
adaptive_composed,direct_e2ee,generated_transport,72,0.1111111111111111,0.0,-0.4334490740740742,-0.7030902777777778,0.01912037037037035
adaptive_composed,direct_e2ee,ephemeral_relay,72,0.1388888888888889,0.0,-0.34039351851851846,-0.5622453703703704,0.028530092592592735
adaptive_composed,direct_e2ee,platform_controlled,72,0.08333333333333333,0.0,-0.5239583333333333,-0.815601851851852,0.013252314814814762
adaptive_composed,fixed_proxy,generated_transport,72,0.027777777777777776,0.0,-0.5979166666666667,-0.7425231481481481,-0.013113425925925933
adaptive_composed,fixed_proxy,ephemeral_relay,72,0.05555555555555555,0.0,-0.48807870370370365,-0.6351504629629628,-0.013356481481481403
adaptive_composed,fixed_proxy,platform_controlled,72,0.041666666666666664,0.0,-0.6900462962962963,-0.8497569444444444,-0.016759259259259213
adaptive_composed,generated_transport,ephemeral_relay,72,0.7916666666666666,0.0,0.06296296296296292,-0.0331712962962962,0.24803240740740737
adaptive_composed,generated_transport,platform_controlled,72,0.05555555555555555,0.0,-0.07997685185185177,-0.20195601851851852,-0.00017361111111106062
adaptive_composed,ephemeral_relay,platform_controlled,72,0.041666666666666664,0.0,-0.14571759259259243,-0.3780439814814814,-0.005266203703703598
