censor_model,architecture,design_points,auac_mean,auac_q05,auac_q25,auac_median,auac_q75,auac_q95,rank_first_fraction_all,median_rank_all,rank_first_fraction_trust_eligible,median_rank_trust_eligible
classifier_dominant,direct_e2ee,72,0.7568769290123457,0.580949074074074,0.6738425925925926,0.783449074074074,0.834664351851852,0.9242592592592593,0.0,3.0,0.4444444444444444,2.0
classifier_dominant,fixed_proxy,72,0.651954732510288,0.3996874999999999,0.5236689814814816,0.6711805555555554,0.7815393518518517,0.8970601851851852,0.0,5.0,0.0,4.0
classifier_dominant,generated_transport,72,0.7864101080246912,0.6762384259259259,0.7492476851851853,0.7800925925925926,0.8192129629629629,0.9167129629629631,0.0,2.0,0.5555555555555556,1.0
classifier_dominant,ephemeral_relay,72,0.6979102366255143,0.4953125,0.5999421296296297,0.7240740740740741,0.7818287037037037,0.8919675925925926,0.0,4.0,0.0,3.0
classifier_dominant,platform_controlled,72,0.8847672325102881,0.8147569444444446,0.8362847222222223,0.8853009259259259,0.9231481481481482,0.9698611111111113,1.0,1.0,nan,nan
endpoint_discovery_dominant,direct_e2ee,72,0.44775913065843626,0.08024305555555557,0.18420138888888887,0.45914351851851853,0.6910300925925926,0.8810648148148149,0.0,4.0,0.09722222222222222,3.0
endpoint_discovery_dominant,fixed_proxy,72,0.28075167181069954,0.029722222222222226,0.05920138888888889,0.17928240740740742,0.41232638888888895,0.9033217592592593,0.0,5.0,0.027777777777777776,4.0
endpoint_discovery_dominant,generated_transport,72,0.8155381944444444,0.7033912037037038,0.7596064814814816,0.8170138888888889,0.8638888888888889,0.9512615740740742,0.0,2.0,0.6805555555555556,1.0
endpoint_discovery_dominant,ephemeral_relay,72,0.7911908436213992,0.6614467592592592,0.749537037037037,0.7884259259259259,0.8431134259259259,0.9169560185185186,0.0,3.0,0.19444444444444445,2.0
endpoint_discovery_dominant,platform_controlled,72,0.8847672325102881,0.8147569444444446,0.8362847222222223,0.8853009259259259,0.9231481481481482,0.9698611111111113,1.0,1.0,nan,nan
resource_bounded_composed,direct_e2ee,72,0.4881172839506173,0.09724537037037037,0.2472800925925926,0.4388888888888889,0.735648148148148,0.9127662037037038,0.08333333333333333,4.0,0.18055555555555555,3.0
resource_bounded_composed,fixed_proxy,72,0.4044399434156378,0.06616898148148148,0.16047453703703707,0.30648148148148147,0.6339699074074076,0.8971875,0.0,5.0,0.013888888888888888,4.0
resource_bounded_composed,generated_transport,72,0.784301054526749,0.6715393518518519,0.7421296296296297,0.7798611111111111,0.8192708333333333,0.9151041666666667,0.013888888888888888,2.0,0.7638888888888888,1.0
resource_bounded_composed,ephemeral_relay,72,0.6947402263374485,0.49202546296296296,0.592824074074074,0.7224537037037038,0.7806134259259259,0.892175925925926,0.0,3.0,0.041666666666666664,2.0
resource_bounded_composed,platform_controlled,72,0.8586709104938272,0.7834606481481481,0.8216435185185185,0.8572916666666668,0.8962962962962963,0.9366435185185187,0.9027777777777778,1.0,nan,nan
adaptive_composed,direct_e2ee,72,0.3985435956790123,0.05274305555555556,0.13842592592592592,0.30104166666666665,0.6783564814814814,0.8847569444444445,0.08333333333333333,4.0,0.1111111111111111,3.0
adaptive_composed,fixed_proxy,72,0.2631494341563786,0.03155092592592593,0.06846064814814816,0.14166666666666666,0.3416666666666667,0.8890740740740741,0.0,5.0,0.0,4.0
adaptive_composed,generated_transport,72,0.7703414351851853,0.6053587962962963,0.7226851851851852,0.7717592592592594,0.819386574074074,0.9129166666666667,0.013888888888888888,2.0,0.75,1.0
adaptive_composed,ephemeral_relay,72,0.6936889146090536,0.4885300925925926,0.590625,0.7216435185185186,0.7802662037037038,0.8922800925925926,0.0,3.0,0.1388888888888889,2.0
adaptive_composed,platform_controlled,72,0.8586709104938272,0.7834606481481481,0.8216435185185185,0.8572916666666668,0.8962962962962963,0.9366435185185187,0.9027777777777778,1.0,nan,nan
