censor_model,architecture,design_points,replicates_per_design,observed_variance_of_design_means,within_design_seed_variance,model_variance_component,model_variance_fraction,seed_variance_fraction
classifier_dominant,direct_e2ee,72,3,0.011927713413216785,0.000327565943644262,0.011818524765335365,0.9730311627425858,0.026968837257414183
classifier_dominant,fixed_proxy,72,3,0.026531510354613586,0.000537678701560357,0.026352284120760135,0.9800044832671152,0.019995516732884702
classifier_dominant,generated_transport,72,3,0.005126923031350829,0.00018369823816872415,0.005065690285294588,0.9650057835598101,0.03499421644018993
classifier_dominant,ephemeral_relay,72,3,0.016325341625704922,0.0003925584776520352,0.01619448879982091,0.9763334322809116,0.023666567719088455
classifier_dominant,platform_controlled,72,3,0.0027268123642882306,0.0001534614161808411,0.002675658558894617,0.9457564834532165,0.054243516546783416
endpoint_discovery_dominant,direct_e2ee,72,3,0.0794506629076418,0.016356528813728857,0.07399848663639885,0.8189748656204149,0.18102513437958512
endpoint_discovery_dominant,fixed_proxy,72,3,0.08412862778049805,0.010553267086048238,0.08061087208514864,0.8842388335809294,0.11576116641907062
endpoint_discovery_dominant,generated_transport,72,3,0.007229198571595037,0.0009891323373914032,0.006899487792464569,0.8746127559561595,0.12538724404384047
endpoint_discovery_dominant,ephemeral_relay,72,3,0.006173710261876088,0.0005003911608367628,0.006006913208263834,0.9231031572439075,0.07689684275609258
endpoint_discovery_dominant,platform_controlled,72,3,0.0027268123642882306,0.0001534614161808411,0.002675658558894617,0.9457564834532165,0.054243516546783416
resource_bounded_composed,direct_e2ee,72,3,0.07511231742305687,0.0029878972336534063,0.07411635167850573,0.9612486046384116,0.03875139536158847
resource_bounded_composed,fixed_proxy,72,3,0.0789706852407143,0.0014828947509430725,0.07847638699039994,0.9814543762944241,0.018545623705575894
resource_bounded_composed,generated_transport,72,3,0.005295998229759696,0.00020975330075445812,0.005226080462841544,0.9614128558972528,0.0385871441027473
resource_bounded_composed,ephemeral_relay,72,3,0.01687510599337528,0.0004109667031035667,0.016738117092340757,0.9760356466849418,0.02396435331505818
resource_bounded_composed,platform_controlled,72,3,0.0024562333626458707,0.00021370732953246449,0.002384997586135049,0.917763910691041,0.08223608930895904
adaptive_composed,direct_e2ee,72,3,0.08646949902055079,0.005588982838934614,0.08460650474090592,0.938034784345644,0.06196521565435608
adaptive_composed,fixed_proxy,72,3,0.07468935752551621,0.002174722525863054,0.0739644500168952,0.9714375340152039,0.028562465984796108
adaptive_composed,generated_transport,72,3,0.0076826523187694395,0.0005980652720621858,0.0074832972280820444,0.9259945000547233,0.0740054999452768
adaptive_composed,ephemeral_relay,72,3,0.017112593028892852,0.00041268138074417016,0.016975032568644795,0.9762659207561514,0.023734079243848644
adaptive_composed,platform_controlled,72,3,0.0024562333626458707,0.00021370732953246449,0.002384997586135049,0.917763910691041,0.08223608930895904
