run_id,seed,architecture,censor,network,layer_mask,auac,t50,t50_observed,endpoint_burns,endpoint_exposure_epochs,endpoint_burn_rate,mean_tpr,mean_fpr,mean_precision,auac_text,auac_media,auac_file,auac_presence,auac_realtime
run-00000,101,direct_e2ee,passive_only,mobile,P--,0.865,8,0,0,48,0.0,0.04375,0.0004166666666666667,0.5248505349599295,0.95,0.9,0.825,0.95,0.7
run-00001,202,direct_e2ee,passive_only,mobile,P--,0.8999999999999999,8,0,0,48,0.0,0.016666666666666666,0.0,1.0,1.0,1.0,0.8500000000000001,0.975,0.6749999999999999
run-00002,101,direct_e2ee,adaptive_cross_layer,mobile,PEL,0.8700000000000001,8,0,2,48,0.041666666666666664,0.037500000000000006,0.0,1.0,0.95,0.925,0.825,0.95,0.7
run-00003,202,direct_e2ee,adaptive_cross_layer,mobile,PEL,0.87,8,0,1,48,0.020833333333333332,0.05208333333333333,0.00020833333333333335,0.7714754213536008,0.95,0.975,0.8,0.975,0.6499999999999999
run-00004,101,fixed_proxy,passive_only,mobile,P--,0.8300000000000001,8,0,0,80,0.0,0.1,0.0004166666666666667,0.5570242308160401,0.925,0.8500000000000001,0.75,0.975,0.65
run-00005,202,fixed_proxy,passive_only,mobile,P--,0.855,8,0,0,80,0.0,0.042708333333333334,0.0,1.0,0.95,1.0,0.8,0.95,0.575
run-00006,101,fixed_proxy,adaptive_cross_layer,mobile,PEL,0.275,3,1,3,80,0.0375,0.08125,0.0,1.0,0.325,0.30000000000000004,0.25,0.3,0.2
run-00007,202,fixed_proxy,adaptive_cross_layer,mobile,PEL,0.5249999999999999,5,1,4,80,0.05,0.115625,0.00020833333333333335,0.7867978281782744,0.575,0.625,0.55,0.575,0.30000000000000004
run-00008,101,generated_transport,passive_only,mobile,P--,0.885,8,0,0,224,0.0,0.015625,0.0007291666666666667,0.5045208737386947,0.975,0.925,0.875,0.975,0.675
run-00009,202,generated_transport,passive_only,mobile,P--,0.88,8,0,0,224,0.0,0.014583333333333334,0.0003125,0.7524777006937562,1.0,1.0,0.8500000000000001,0.975,0.575
run-00010,101,generated_transport,adaptive_cross_layer,mobile,PEL,0.885,8,0,0,224,0.0,0.011458333333333334,0.0,1.0,0.975,0.9,0.875,1.0,0.675
run-00011,202,generated_transport,adaptive_cross_layer,mobile,PEL,0.865,8,0,0,224,0.0,0.02291666666666667,0.00010416666666666667,0.8786443148688047,1.0,0.975,0.8,0.975,0.575
run-00012,101,ephemeral_relay,passive_only,mobile,P--,0.825,8,0,0,960,0.0,0.06666666666666667,0.0004166666666666667,0.5400611674040707,0.925,0.9,0.775,0.95,0.575
run-00013,202,ephemeral_relay,passive_only,mobile,P--,0.8400000000000001,8,0,0,960,0.0,0.03333333333333333,0.0,1.0,0.95,1.0,0.8,0.95,0.5
run-00014,101,ephemeral_relay,adaptive_cross_layer,mobile,PEL,0.825,8,0,1,960,0.0010416666666666667,0.05520833333333333,0.0,1.0,0.925,0.875,0.8,0.95,0.575
run-00015,202,ephemeral_relay,adaptive_cross_layer,mobile,PEL,0.8250000000000001,8,0,1,960,0.0010416666666666667,0.078125,0.00020833333333333335,0.7763631496861949,0.925,0.975,0.8,0.975,0.45000000000000007
run-00016,101,platform_controlled,passive_only,mobile,P--,0.9299999999999999,8,0,0,96,0.0,0.004166666666666667,0.000625,0.6274533856722276,0.975,1.0,0.9,1.0,0.775
run-00017,202,platform_controlled,passive_only,mobile,P--,0.915,8,0,0,96,0.0,0.0,0.00020833333333333335,0.875,1.0,1.0,0.8500000000000001,1.0,0.725
run-00018,101,platform_controlled,adaptive_cross_layer,mobile,PEL,0.915,8,0,0,96,0.0,0.0010416666666666667,0.000625,0.7506225099601593,0.975,0.975,0.875,1.0,0.75
run-00019,202,platform_controlled,adaptive_cross_layer,mobile,PEL,0.875,8,0,0,96,0.0,0.0020833333333333333,0.00010416666666666667,0.8762388503468781,0.95,0.925,0.8,1.0,0.7
